fold,held_patient,feature,importance,method
14,P21,PROGENy_Androgen,0.10502776742622023,shap_linear_training_background
14,P21,PROGENy_EGFR,0.18937989030347002,shap_linear_training_background
14,P21,PROGENy_Estrogen,0.1005809139344906,shap_linear_training_background
14,P21,PROGENy_Hypoxia,0.06733412943860882,shap_linear_training_background
14,P21,PROGENy_JAK-STAT,0.3378139270470483,shap_linear_training_background
14,P21,PROGENy_MAPK,0.20068543291592372,shap_linear_training_background
14,P21,PROGENy_NFkB,0.20517632254054502,shap_linear_training_background
14,P21,PROGENy_PI3K,0.16302732320596622,shap_linear_training_background
14,P21,PROGENy_TGFb,0.10255323256730482,shap_linear_training_background
14,P21,PROGENy_TNFa,0.21140829575413125,shap_linear_training_background
14,P21,PROGENy_Trail,0.07898804483387704,shap_linear_training_background
14,P21,PROGENy_VEGF,0.05501657267733674,shap_linear_training_background
14,P21,PROGENy_WNT,0.09693050932248588,shap_linear_training_background
14,P21,PROGENy_p53,0.14301809866073006,shap_linear_training_background
15,P22,PROGENy_Androgen,0.07793953268835718,shap_linear_training_background
15,P22,PROGENy_EGFR,0.18200977343748495,shap_linear_training_background
15,P22,PROGENy_Estrogen,0.09271317669790687,shap_linear_training_background
15,P22,PROGENy_Hypoxia,0.08267797443952013,shap_linear_training_background
15,P22,PROGENy_JAK-STAT,0.29584922325577595,shap_linear_training_background
15,P22,PROGENy_MAPK,0.16593704246653324,shap_linear_training_background
15,P22,PROGENy_NFkB,0.2748875782461444,shap_linear_training_background
15,P22,PROGENy_PI3K,0.14159351770509643,shap_linear_training_background
15,P22,PROGENy_TGFb,0.09583809735813106,shap_linear_training_background
15,P22,PROGENy_TNFa,0.25287067197648433,shap_linear_training_background
15,P22,PROGENy_Trail,0.05625343206584972,shap_linear_training_background
15,P22,PROGENy_VEGF,0.06044804678151246,shap_linear_training_background
15,P22,PROGENy_WNT,0.08317039757085214,shap_linear_training_background
15,P22,PROGENy_p53,0.21915944392840853,shap_linear_training_background
16,P23,PROGENy_Androgen,0.08122404727331292,shap_linear_training_background
16,P23,PROGENy_EGFR,0.1960604205715514,shap_linear_training_background
16,P23,PROGENy_Estrogen,0.10166048154252169,shap_linear_training_background
16,P23,PROGENy_Hypoxia,0.09675810178206615,shap_linear_training_background
16,P23,PROGENy_JAK-STAT,0.3898978968987495,shap_linear_training_background
16,P23,PROGENy_MAPK,0.14935572344454345,shap_linear_training_background
16,P23,PROGENy_NFkB,0.23942270866276696,shap_linear_training_background
16,P23,PROGENy_PI3K,0.15220982299361396,shap_linear_training_background
16,P23,PROGENy_TGFb,0.09860235806778839,shap_linear_training_background
16,P23,PROGENy_TNFa,0.20469629053107588,shap_linear_training_background
16,P23,PROGENy_Trail,0.05527795546105814,shap_linear_training_background
16,P23,PROGENy_VEGF,0.07365317908556267,shap_linear_training_background
16,P23,PROGENy_WNT,0.07330330133828739,shap_linear_training_background
16,P23,PROGENy_p53,0.18405283988773552,shap_linear_training_background
17,P24,PROGENy_Androgen,0.07345105742351271,shap_linear_training_background
17,P24,PROGENy_EGFR,0.19150846424970475,shap_linear_training_background
17,P24,PROGENy_Estrogen,0.09080295791343243,shap_linear_training_background
17,P24,PROGENy_Hypoxia,0.0628007144013855,shap_linear_training_background
17,P24,PROGENy_JAK-STAT,0.30960906112122166,shap_linear_training_background
17,P24,PROGENy_MAPK,0.1446410254782957,shap_linear_training_background
17,P24,PROGENy_NFkB,0.2112251803000578,shap_linear_training_background
17,P24,PROGENy_PI3K,0.13656895026816088,shap_linear_training_background
17,P24,PROGENy_TGFb,0.10035026996633639,shap_linear_training_background
17,P24,PROGENy_TNFa,0.22151320380249317,shap_linear_training_background
17,P24,PROGENy_Trail,0.0745425534937101,shap_linear_training_background
17,P24,PROGENy_VEGF,0.06470550440471469,shap_linear_training_background
17,P24,PROGENy_WNT,0.08883280563607011,shap_linear_training_background
17,P24,PROGENy_p53,0.12476609615648192,shap_linear_training_background
18,P25,PROGENy_Androgen,0.10476900672821653,shap_linear_training_background
18,P25,PROGENy_EGFR,0.1940850632005874,shap_linear_training_background
18,P25,PROGENy_Estrogen,0.08907688820425026,shap_linear_training_background
18,P25,PROGENy_Hypoxia,0.07634666095657548,shap_linear_training_background
18,P25,PROGENy_JAK-STAT,0.2958199905820969,shap_linear_training_background
18,P25,PROGENy_MAPK,0.17327090551888652,shap_linear_training_background
18,P25,PROGENy_NFkB,0.2567339287747598,shap_linear_training_background
18,P25,PROGENy_PI3K,0.151994923235332,shap_linear_training_background
18,P25,PROGENy_TGFb,0.10737191077065378,shap_linear_training_background
18,P25,PROGENy_TNFa,0.22908554669693548,shap_linear_training_background
18,P25,PROGENy_Trail,0.053223891019167864,shap_linear_training_background
18,P25,PROGENy_VEGF,0.06186328005437813,shap_linear_training_background
18,P25,PROGENy_WNT,0.08424657249919389,shap_linear_training_background
18,P25,PROGENy_p53,0.120117083588832,shap_linear_training_background
19,P26,PROGENy_Androgen,0.10049184223292805,shap_linear_training_background
19,P26,PROGENy_EGFR,0.25161427896765415,shap_linear_training_background
19,P26,PROGENy_Estrogen,0.09590540238442721,shap_linear_training_background
19,P26,PROGENy_Hypoxia,0.05856587436900644,shap_linear_training_background
19,P26,PROGENy_JAK-STAT,0.40243045044294457,shap_linear_training_background
19,P26,PROGENy_MAPK,0.16978517764145756,shap_linear_training_background
19,P26,PROGENy_NFkB,0.23490712257493632,shap_linear_training_background
19,P26,PROGENy_PI3K,0.1297393553345383,shap_linear_training_background
19,P26,PROGENy_TGFb,0.10886316267626862,shap_linear_training_background
19,P26,PROGENy_TNFa,0.21655743333924973,shap_linear_training_background
19,P26,PROGENy_Trail,0.07547124578449177,shap_linear_training_background
19,P26,PROGENy_VEGF,0.03814967162404801,shap_linear_training_background
19,P26,PROGENy_WNT,0.08680361914918376,shap_linear_training_background
19,P26,PROGENy_p53,0.20205100821198102,shap_linear_training_background
20,P27,PROGENy_Androgen,0.06134396165295545,shap_linear_training_background
20,P27,PROGENy_EGFR,0.15713099186466256,shap_linear_training_background
20,P27,PROGENy_Estrogen,0.07701751910193759,shap_linear_training_background
20,P27,PROGENy_Hypoxia,0.060391375867300874,shap_linear_training_background
20,P27,PROGENy_JAK-STAT,0.5094899639111865,shap_linear_training_background
20,P27,PROGENy_MAPK,0.13821145508081548,shap_linear_training_background
20,P27,PROGENy_NFkB,0.07234812715099723,shap_linear_training_background
20,P27,PROGENy_PI3K,0.10006533460866669,shap_linear_training_background
20,P27,PROGENy_TGFb,0.05292841896927717,shap_linear_training_background
20,P27,PROGENy_TNFa,0.09965251828526324,shap_linear_training_background
20,P27,PROGENy_Trail,0.05835713189671434,shap_linear_training_background
20,P27,PROGENy_VEGF,0.040603901015376434,shap_linear_training_background
20,P27,PROGENy_WNT,0.07041580497761518,shap_linear_training_background
20,P27,PROGENy_p53,0.08343481824703401,shap_linear_training_background
21,P28,PROGENy_Androgen,0.06201275474941367,shap_linear_training_background
21,P28,PROGENy_EGFR,0.2820718790761551,shap_linear_training_background
21,P28,PROGENy_Estrogen,0.09998923302560457,shap_linear_training_background
21,P28,PROGENy_Hypoxia,0.13426771009091681,shap_linear_training_background
21,P28,PROGENy_JAK-STAT,0.40679049963691616,shap_linear_training_background
21,P28,PROGENy_MAPK,0.2585475335072363,shap_linear_training_background
21,P28,PROGENy_NFkB,0.2808239113858897,shap_linear_training_background
21,P28,PROGENy_PI3K,0.19258228562513438,shap_linear_training_background
21,P28,PROGENy_TGFb,0.1229204824763507,shap_linear_training_background
21,P28,PROGENy_TNFa,0.27425097702451706,shap_linear_training_background
21,P28,PROGENy_Trail,0.05104568993000531,shap_linear_training_background
21,P28,PROGENy_VEGF,0.06961060267747368,shap_linear_training_background
21,P28,PROGENy_WNT,0.0773166656478674,shap_linear_training_background
21,P28,PROGENy_p53,0.24357012683313964,shap_linear_training_background
22,P29,PROGENy_Androgen,0.10149902803297053,shap_linear_training_background
22,P29,PROGENy_EGFR,0.20759082488256883,shap_linear_training_background
22,P29,PROGENy_Estrogen,0.12544991699207503,shap_linear_training_background
22,P29,PROGENy_Hypoxia,0.12105326311977445,shap_linear_training_background
22,P29,PROGENy_JAK-STAT,0.7140905952213484,shap_linear_training_background
22,P29,PROGENy_MAPK,0.1760398265593346,shap_linear_training_background
22,P29,PROGENy_NFkB,0.21552861554036193,shap_linear_training_background
22,P29,PROGENy_PI3K,0.1502313117659785,shap_linear_training_background
22,P29,PROGENy_TGFb,0.10478718827040008,shap_linear_training_background
22,P29,PROGENy_TNFa,0.19575002809617612,shap_linear_training_background
22,P29,PROGENy_Trail,0.07002200691075015,shap_linear_training_background
22,P29,PROGENy_VEGF,0.05147604776862154,shap_linear_training_background
22,P29,PROGENy_WNT,0.07175724480571256,shap_linear_training_background
22,P29,PROGENy_p53,0.19763017046348583,shap_linear_training_background
23,P3,PROGENy_Androgen,0.04391997148135641,shap_linear_training_background
23,P3,PROGENy_EGFR,0.14174298755028136,shap_linear_training_background
23,P3,PROGENy_Estrogen,0.05481914546721544,shap_linear_training_background
23,P3,PROGENy_Hypoxia,0.02943181121005908,shap_linear_training_background
23,P3,PROGENy_JAK-STAT,0.1333009750825004,shap_linear_training_background
23,P3,PROGENy_MAPK,0.10177669154272219,shap_linear_training_background
23,P3,PROGENy_NFkB,0.026507669506592748,shap_linear_training_background
23,P3,PROGENy_PI3K,0.07098266862984896,shap_linear_training_background
23,P3,PROGENy_TGFb,0.05276645656312139,shap_linear_training_background
23,P3,PROGENy_TNFa,0.06053379935106022,shap_linear_training_background
23,P3,PROGENy_Trail,0.038998054794936475,shap_linear_training_background
23,P3,PROGENy_VEGF,0.01900972405904945,shap_linear_training_background
23,P3,PROGENy_WNT,0.05306759252087881,shap_linear_training_background
23,P3,PROGENy_p53,0.05992183380289098,shap_linear_training_background
24,P30,PROGENy_Androgen,0.08707516090663071,shap_linear_training_background
24,P30,PROGENy_EGFR,0.19425505209139915,shap_linear_training_background
24,P30,PROGENy_Estrogen,0.10078449060335205,shap_linear_training_background
24,P30,PROGENy_Hypoxia,0.08994926999793636,shap_linear_training_background
24,P30,PROGENy_JAK-STAT,0.30075164286296724,shap_linear_training_background
24,P30,PROGENy_MAPK,0.21625989725067873,shap_linear_training_background
24,P30,PROGENy_NFkB,0.19148872775367476,shap_linear_training_background
24,P30,PROGENy_PI3K,0.1658091672716996,shap_linear_training_background
24,P30,PROGENy_TGFb,0.08916347889334361,shap_linear_training_background
24,P30,PROGENy_TNFa,0.20973327881147877,shap_linear_training_background
24,P30,PROGENy_Trail,0.06313587086742553,shap_linear_training_background
24,P30,PROGENy_VEGF,0.08080728292181094,shap_linear_training_background
24,P30,PROGENy_WNT,0.09282141299684231,shap_linear_training_background
24,P30,PROGENy_p53,0.19596313063343365,shap_linear_training_background
25,P31,PROGENy_Androgen,0.10333952212462212,shap_linear_training_background
25,P31,PROGENy_EGFR,0.19212133092769287,shap_linear_training_background
25,P31,PROGENy_Estrogen,0.13216807989810705,shap_linear_training_background
25,P31,PROGENy_Hypoxia,0.07832352523274672,shap_linear_training_background
25,P31,PROGENy_JAK-STAT,0.27252735931467414,shap_linear_training_background
