feature,feature_value_scaled,shap_value,fold,held_patient
CCC_Sender_HLA-B_to_KIR3DL2,-0.22403204094966495,0.007127328003036553,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.2831784771496062,0.0072206726143894335,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.21853394227744055,0.008668246400014613,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.331616135702039,0.009892190338413705,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,0.39413136673350985,-0.04311372183213966,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.22059572314122602,0.008875959212098545,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,0.3819801871112486,-0.03758605045935964,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.26128198723913415,0.008049213718442838,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.27654322181890806,0.008357103111865386,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.26260908741166317,0.008596389177563142,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,0.44395117372094733,-0.0405267860283633,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.3123737970302356,0.008306598159501391,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.2931314583584322,0.008744083198137445,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.24734790193827866,0.009379006666579606,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.3010057169991425,0.008333452744973336,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.19173054551628257,0.008670629362206571,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.2831367858250372,0.008777524324413285,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.25663730850764543,0.008271416455900104,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.2599549852793839,0.008996637420519461,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.31635490112226516,0.01134544433751645,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.22810551416008587,0.008535171433301564,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.2115173267269511,0.008327341148379696,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,0.3358059402573248,-0.04376510935597332,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.32763493339723077,0.008628318206900795,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,-0.24270317410040057,0.007827863422664545,1,P1
CCC_Sender_HLA-B_to_KIR3DL2,0.27869540585397484,-0.03693645423699375,1,P1
