feature,overall_mean_importance,overall_std_importance,conditional_mean_importance,n_folds_selected,selection_frequency,overall_sem_importance,cv_importance_all_folds,feature_type
CCC_Sender_HLA-G_to_LILRB1,0.004211111642793303,0.002660403512691077,0.004211111642793303,32,1.0,0.0004702973411290929,0.6317580103210908,Cell-to-cell communication
CCC_Receiver_PVR_to_TIGIT,0.004076049512437777,0.0027909107932741024,0.004076049512437777,32,1.0,0.0004933679869027111,0.6847097378866069,Cell-to-cell communication
CCC_Receiver_CCL3_to_CCR5,0.003912612096232097,0.0022679950576496356,0.003912612096232097,32,1.0,0.000400928671240408,0.5796626401665905,Cell-to-cell communication
CCC_Sender_LGALS9_to_P4HB,0.0035917521434235566,0.001790299180887893,0.0035917521434235566,32,1.0,0.00031648317278963763,0.4984473063281673,Cell-to-cell communication
CCC_Receiver_TNF_to_TNFRSF1B,0.0031027598155608203,0.0016298009858283194,0.0031027598155608203,32,1.0,0.0002881108322659312,0.5252746208889955,Cell-to-cell communication
CCC_Receiver_CD86_to_CTLA4,0.0030538617428439033,0.0021240177922203824,0.0030538617428439033,32,1.0,0.0003754768460599779,0.6955186485431376,Cell-to-cell communication
CCC_Receiver_CD274_to_PDCD1,0.0030372905563703758,0.0020064782447909353,0.0030372905563703758,32,1.0,0.0003546985932987379,0.6606145205905877,Cell-to-cell communication
CCC_Receiver_CCL4_to_CCR5,0.003022407717445925,0.0017868948587647308,0.003022407717445925,32,1.0,0.0003158813679749798,0.5912156882244662,Cell-to-cell communication
CCC_Sender_SELPLG_to_SELL,0.002773551185943889,0.00220187745051375,0.002773551185943889,32,1.0,0.0003892406191500048,0.7938838344403627,Cell-to-cell communication
CCC_Receiver_TNFSF14_to_TNFRSF14,0.002281242374873054,0.001688384947256838,0.002281242374873054,32,1.0,0.00029846711136465037,0.7401164233374338,Cell-to-cell communication
CCC_Sender_LTB_to_LTBR,0.0022019916904905093,0.0019348510233166277,0.0022019916904905093,32,1.0,0.0003420365697932295,0.8786822546481208,Cell-to-cell communication
CCC_Receiver_LTA_to_TNFRSF1B,0.0018730515342878634,0.0011787500919782472,0.0018730515342878634,32,1.0,0.00020837554584052128,0.6293206942789268,Cell-to-cell communication
CCC_Receiver_BTLA_to_TNFRSF14,0.0016911626767229795,0.0015301263349388084,0.0016911626767229795,32,1.0,0.0002704906768768375,0.9047777342767425,Cell-to-cell communication
CCC_Receiver_CSF1_to_CSF1R,0.0009336731922743257,0.0003552257815158124,0.0009336731922743257,32,1.0,6.279563974053047e-05,0.38046051279519044,Cell-to-cell communication
CCC_Receiver_CD86_to_CD28,0.0009037770432890382,0.000667087183566844,0.0009037770432890382,32,1.0,0.00011792546778568765,0.7381103431651361,Cell-to-cell communication
CCC_Sender_TNF_to_TNFRSF1A,0.000851135711133428,0.0008211457190377984,0.000851135711133428,32,1.0,0.00014515942656848267,0.9647647352785926,Cell-to-cell communication
